2.11 - Emisiones brutas de gases de efecto invernadero (a),,,,,,,
,,,,,,,Gigagramo
,,,,,,,
,,,,,,,
AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2
,,,,,,,
,,,,,,,
  Cambio de Uso de la Tierra y Silvicultura,"-21.696,83","0,91","0,01","0,22","7,94",..,..
  Desechos,.,"112,40","0,60",.,.,.,.
2008,,,,,,,
Emisiones brutas,"31.468,36","372,50","8,20","97,69","366,99","108,06","835,59"
Emisiones netas,"13.653,37","372,90","8,20","97,79","370,51","108,06","835,59"
      Energía,"30.060,88","90,19","0,51","97,68","364,53","31,91","827,99"
      Procesos industriales,"1.407,48",.,.,"0,01","2,46","43,66","7,60"
  Uso de solventes,..,..,.,..,..,"32,49",..
  Agricultura,..,"182,00","7,10",.,.,..,..
  Cambio de uso de la tierra y silvicultura,"-17.814,99","0,40","0,00","0,10","3,52",..,..
  Desechos,.,"100,31","0,59",.,.,.,.
2010 (a),,,,,,,
Emisiones brutas,"29.605,63","397,09","8,32","92,91","367,24","54,46","807,11"
Emisiones netas,"15.316,75","431,61","8,33","93,26","379,60","54,46","807,11"
      Energía,"28.326,63","87,61","0,49","92,90","358,52","32,59","799,39"
      Procesos industriales,"1.279,00",.,.,"0,01","2,50","0,05","7,72"
  Uso de solventes,..,..,.,..,..,"21,82",..
  Agricultura,..,"189,32","7,27","0,18","6,22",..,..
  Cambio de uso de la tierra y silvicultura,"-14.288,88","34,52","0,01","0,35","12,36",..,..
  Desechos,.,"120,16","0,55",.,.,.,.
2012,,,,,,,
Emisiones brutas,"29.345,81","419,17","8,38","93,45","399,68","80,00","813,47"
Emisiones netas,"15.163,68","452,79","8,38","93,54","402,99","80,00","813,47"
      Energía,"28.021,41","100,45","0,52","93,16","387,44","33,24","806,24"
      Procesos industriales,"1.324,40",.,.,"0,01","2,49","26,00","7,23"
  Uso de solventes,..,..,.,..,..,"20,76",..
  Agricultura,..,"193,12","7,28","0,28","9,75",..,..
  Cambio de uso de la tierra y silvicultura,"-14.182,13","33,62","0,00","0,09","3,31",..,..
  Desechos,.,"125,60","0,58",.,.,.,.
2014,,,,,,,
Emisiones brutas,"32.565,27","582,96","19,49","92,35","476,04","63,37","779,71"
Emisiones netas,"5.910,75","582,96","19,49","92,35","476,04","63,37","779,71"
      Energía,"31611,53","209,75","0,38","91,45","444,52","34,32","772,36"
      Procesos industriales,"789,68",.,"0,18","0,01","0,00","29,05","7,35"
  Agricultura,"164,06","203,76","18,25","0,82","28,96",..,..
  Cambio de uso de la tierra y silvicultura,"-26654,52",",","0,00",0,"2,56",..,..
  Desechos,.,"169,45","0,68",.,.,.,.
2016,.,,,,,,
Emisiones brutas,"-26.257,43","585,49","19,14",…,…,…,…
Emisiones netas,"4.722,30","585,49","19,51",…,…,…,…
      Energía,"30.979,73","205,56","0,37",…,…,…,…
      Procesos industriales,"725,57",.,"0,16",…,…,…,…
  Agricultura,"164,20","203,95","18,27",…,…,…,…
  Cambio de uso de la tierra y silvicultura,"-27.147,20",-,"0,00",…,…,…,…
  Desechos,.,"175,98",1,.,.,.,.
2017,.,"175,98","0,71",.,.,.,.
Emisiones brutas,"30.173,50","530,55","21,08",…,…,…,…
Emisiones netas,"2.533,70","530,55","20,17",…,…,…,…
      Energía,"29.290,37","121,85","0,68",…,…,…,…
      Procesos industriales,"703,70",,"0,23",…,…,…,…
  Agricultura,"179,44","201,60",19,…,…,…,…
  Cambio de uso de la tierra y silvicultura,"-27.460,36",-,-,…,…,…,…
  Desechos,-,"207,10","0,64",.,.,.,.
,,,,,,,
(a) Emisiones recalculadas según la metodología aplicada para el reporte mencionado en la fuente.,,,,,,,
"Fuente: Instituto de Meteorología, Ministerio de Ciencia, Tecnología y Medio Ambiente.",,,,,,,
